Name,day,Maximum_Temperature,Minimum_Temperature,Temperature,Wind_Chill,Precipitation,Snow,Wind_Speed,Visibility,Cloud_Cover,Relative_Humidity,Conditions
"London, England, United Kingdom",2012-07-20,18.8,13.6,15.5,,0.71,,12.8,29.9,0.2,77.79,Rain
"London, England, United Kingdom",2012-07-21,20.3,12.3,16.1,,0,,9.5,29.7,0.2,67.98,Clear
"London, England, United Kingdom",2012-07-22,23.5,12.4,18,,0,,20,34,0.1,64.38,Clear
"London, England, United Kingdom",2012-07-23,27.8,12.8,20.8,,0,,19.3,36.4,0,56.75,Clear
"London, England, United Kingdom",2012-07-24,28.9,14.3,22.3,,0,,11,30.3,0,56.72,Clear
"London, England, United Kingdom",2012-07-25,30.1,16,23.2,,0,,15.2,29.2,0,55.33,Clear
"London, England, United Kingdom",2012-07-26,27.1,16.6,21.3,,0,,15.5,23.5,0,58.94,Clear
"London, England, United Kingdom",2012-07-27,24.1,16.3,20.4,,0,,13.8,15.4,0.3,73.33,Clear
"London, England, United Kingdom",2012-07-28,21.8,14.3,17.9,,0.3,,22.6,36,0.2,52.77,Rain
"London, England, United Kingdom",2012-07-29,19.6,11.1,14.4,,4.12,,22.1,33.3,0.1,75.94,Rain
"London, England, United Kingdom",2012-07-30,20.6,10.1,15.6,,0,,26.3,37.3,0.2,62.92,Clear
"London, England, United Kingdom",2012-07-31,20.3,11.3,16.2,,4.3,,20.7,19.7,0.3,85.4,Rain
"London, England, United Kingdom",2012-08-01,23.5,14.1,18.4,,0.2,,23.3,23.7,0.2,77.82,Rain
"London, England, United Kingdom",2012-08-02,22,16,18.5,,3,,30.5,24.9,0.3,72.09,Rain
"London, England, United Kingdom",2012-08-03,22.3,13.1,17.8,,1.3,,28.2,27.1,0.1,72.05,Rain
"London, England, United Kingdom",2012-08-04,22.1,14.6,17.7,,2.4,,24.4,26.9,0.3,77.61,Rain
"London, England, United Kingdom",2012-08-05,21.1,13.1,16.9,,8.09,,19.2,24.1,0.2,79.88,Rain
"London, England, United Kingdom",2012-08-06,21.8,15.1,17.5,,5.69,,26.4,28.7,0.3,77.4,Rain
"London, England, United Kingdom",2012-08-07,19.8,11.3,15.7,,0.7,,19.6,31.7,0.3,78.77,Rain
"London, England, United Kingdom",2012-08-08,23.6,15.5,19.3,,1.7,,11.2,25.4,0.2,76.42,Rain
"London, England, United Kingdom",2012-08-09,27.3,13.5,20.5,,0.2,,10.7,24.1,0.1,67.27,Rain
"London, England, United Kingdom",2012-08-10,25.8,15.1,20.7,,0,,11.1,23.5,0.1,68.79,Clear
"London, England, United Kingdom",2012-08-11,23.1,16.1,19.4,,0,,25.9,23,0.1,66.17,Clear
"London, England, United Kingdom",2012-08-12,25.8,16.6,20.7,,0,,17.5,21.2,0.2,69.02,Clear
"London, England, United Kingdom",2012-08-13,23.5,15.6,19.1,,1.63,,20.9,24.7,0.3,77.92,Rain
"London, England, United Kingdom",2012-08-14,24.5,18,20.8,,1.5,,15.3,28.5,0.2,72.25,Rain
"London, England, United Kingdom",2012-08-15,23.1,17.6,19.9,,0.5,,28.5,25.1,0.2,75.89,Rain
"London, England, United Kingdom",2012-08-16,22.1,16.3,19.1,,1,,24.1,23.6,0.3,70.38,Rain
"London, England, United Kingdom",2012-08-17,27.8,18,22.5,,0.2,,25.9,32.1,0.2,61.76,Rain
"London, England, United Kingdom",2012-08-18,30.6,21,25.2,,0,,18.5,34.6,0.1,58.81,Clear
"London, England, United Kingdom",2012-08-19,29.5,18.5,23.9,,0.7,,16.2,25.9,0.1,71.02,Rain
"London, England, United Kingdom",2012-08-20,24.8,17.1,20.6,,0.2,,17.4,27.9,0.2,74.64,Rain
"London, England, United Kingdom",2012-08-21,22.1,16.6,19,,0,,17.6,22.3,0.2,74.61,Clear
"London, England, United Kingdom",2012-08-22,21.8,13.5,17.6,,0.8,,25.8,24.8,0.1,70.5,Rain
"London, England, United Kingdom",2012-08-23,22.6,13.1,17.7,,0,,13.9,24.2,0.2,68.8,Clear
"London, England, United Kingdom",2012-08-24,20.3,14.5,17.1,,1.24,,22.9,21.8,0.3,75.58,Rain
"London, England, United Kingdom",2012-08-25,21.3,14.9,17,,15.69,,23.7,22,0.3,88.94,Rain
"London, England, United Kingdom",2012-08-26,21.3,14.6,17.3,,11.66,,25.2,31.4,0.2,67.74,Rain
"London, England, United Kingdom",2012-08-27,21.3,13.1,17.7,,0.7,,26.2,25.5,0.3,74.59,Rain
"London, England, United Kingdom",2012-08-28,23.3,15.1,18.5,,3.82,,25.4,23.6,0.2,74.9,Rain
"London, England, United Kingdom",2012-08-29,20.1,14.1,15.8,,3.61,,29.7,19.7,0.2,84.35,Rain
"London, England, United Kingdom",2012-08-30,17.3,10.8,14.9,,1.51,,28.6,25.9,0.2,78.04,Rain
"London, England, United Kingdom",2012-08-31,18.5,8.5,13.9,7.1,0.2,,17.9,34.3,0.1,58.01,Rain
"London, England, United Kingdom",2012-09-01,20.8,13.5,16.7,,0,,21.5,27.7,0.3,71.71,Clear
"London, England, United Kingdom",2012-09-02,18.5,12.6,16.1,,0.8,,14.9,20.1,0.3,87.16,Rain
"London, England, United Kingdom",2012-09-03,25,16.3,19.3,,0.4,,8.3,20.5,0.2,70.07,Rain
"London, England, United Kingdom",2012-09-04,25.6,13.8,19,,0,,13.5,22.2,0.2,75.4,Clear
"London, England, United Kingdom",2012-09-05,20.3,12.8,16.3,,0,,18,24.1,0,58.02,Clear
"London, England, United Kingdom",2012-09-06,21.1,9.3,15.6,,0,,15.1,22,0.2,66.86,Clear
"London, England, United Kingdom",2012-09-07,26.3,11.5,18.2,,0,,15.9,21.7,0,62.95,Clear
"London, England, United Kingdom",2012-09-08,27.6,10.5,18.4,,0,,12.5,25.6,0.1,62.76,Clear
"London, England, United Kingdom",2012-09-09,28.1,11.8,18.8,,0,,26.2,23.3,0.1,66.9,Clear
"London, England, United Kingdom",2012-09-10,20.6,17.1,18.5,,0.25,,29.8,29,0.4,77.04,Rain
"London, England, United Kingdom",2012-09-11,18.8,11.6,15.9,,0.8,,25,38.1,0.2,60.66,Rain
"London, England, United Kingdom",2012-09-12,18.5,8.1,13.2,7.4,0,,22.6,37.5,0.2,72.56,Clear
"London, England, United Kingdom",2012-09-13,18.1,9.1,14.1,7.8,4.09,,19.5,33.7,0.1,66.06,Rain
"London, England, United Kingdom",2012-09-14,21.6,14.3,16.9,,0.3,,28.6,38.8,0.3,66.56,Rain
"London, England, United Kingdom",2012-09-15,21.8,9.8,15.6,9.3,0,,18.6,22.9,0.1,70.49,Clear
"London, England, United Kingdom",2012-09-16,18.6,13.1,15.8,,0,,23.3,32.7,0.2,75.18,Clear
"London, England, United Kingdom",2012-09-17,19.3,13.6,16.1,,0,,22,25.2,0.2,70.25,Clear
"London, England, United Kingdom",2012-09-18,18,10.3,14.2,,1.2,,22.6,32.2,0.1,62.79,Rain
"London, England, United Kingdom",2012-09-19,16.8,7.5,12.2,5.4,0,,19.9,34.4,0.1,63.19,Clear
"London, England, United Kingdom",2012-09-20,17.8,9.3,13.4,8.9,0,,19.4,33.6,0.2,68.62,Clear
"London, England, United Kingdom",2012-09-21,16.3,10.6,13.2,,0.5,,13.7,27.7,0.3,76.07,Rain
"London, England, United Kingdom",2012-09-22,16,7.3,11.8,6.4,1.1,,13.7,35.9,0.2,66.42,Rain
"London, England, United Kingdom",2012-09-23,12.5,9.5,11.2,8.1,12.23,,25.8,19.4,0.3,85.92,Rain
"London, England, United Kingdom",2012-09-24,15.5,11.6,13.3,,17.79,,34.8,22.1,0.3,88.05,Rain
"London, England, United Kingdom",2012-09-25,16.3,10,12.9,,1.32,,30.1,37.1,0.2,76.49,Rain
"London, England, United Kingdom",2012-09-26,15.6,10.1,12.4,,8,,17,28.1,0.3,88.5,Rain
"London, England, United Kingdom",2012-09-27,17.1,11,13.2,,7.15,,16.9,25.8,0.2,80.29,Rain
"London, England, United Kingdom",2012-09-28,17.5,9.1,12.5,7.8,1.3,,25.9,34,0.2,84.83,Rain
"London, England, United Kingdom",2012-09-29,16.6,8.5,11.6,6.7,0.7,,18.5,31.8,0.1,75.3,Rain
"London, England, United Kingdom",2012-09-30,16.6,6.6,12.4,5,0.3,,27.9,27.2,0.2,80.86,Rain
"London, England, United Kingdom",2012-10-01,16.8,12,14.3,,7.4,,23.5,23.9,0.3,89.91,Rain
"London, England, United Kingdom",2012-10-02,16.8,11.1,13.8,,2.08,,26,26.2,0.3,83.94,Rain
"London, England, United Kingdom",2012-10-03,14.8,9.2,12.5,7.6,6.51,,23.3,35.3,0.2,80.69,Rain
"London, England, United Kingdom",2012-10-04,15.3,7,11.6,5.4,1,,26.1,33.6,0.1,79.03,Rain
"London, England, United Kingdom",2012-10-05,16.1,8.8,12.6,8.1,10.62,,35.1,22,0.4,86.14,Rain
"London, England, United Kingdom",2012-10-06,15.8,7.8,10.7,5.7,13.81,,15.3,26.5,0.1,81.94,Rain
"London, England, United Kingdom",2012-10-07,14.3,5.3,10.1,9.4,0.3,,6.7,15.5,0.2,86.87,Rain
"London, England, United Kingdom",2012-10-08,12.3,10.5,11.8,,5.3,,13.6,12.5,0.3,91.94,Rain
"London, England, United Kingdom",2012-10-09,15.1,9.3,11.8,7.6,1.2,,14.2,22.5,0.3,80.55,Rain
"London, England, United Kingdom",2012-10-10,14.4,7.1,11.3,6,0,,12.3,30.5,0.2,71.97,Clear
"London, England, United Kingdom",2012-10-11,15.1,9.4,12.8,7.5,4.31,,21,13.4,0.3,89.23,Rain
"London, England, United Kingdom",2012-10-12,14.3,8.8,11.7,7.6,1,,28.9,43.5,0.2,73.58,Rain
"London, England, United Kingdom",2012-10-13,12.3,6.3,8.9,4.2,0.78,,16.4,32.9,0.2,84.95,Rain
"London, England, United Kingdom",2012-10-14,12.8,3,8.2,3.6,1,,15.9,25.5,0.1,79.45,Rain
"London, England, United Kingdom",2012-10-15,13.1,4.3,9.4,3.7,0.8,,23.7,26.5,0.2,85.33,Rain
"London, England, United Kingdom",2012-10-16,15.1,9.1,12,7.9,2.99,,34.5,27,0.2,73.41,Rain
"London, England, United Kingdom",2012-10-17,17.1,10,13.4,,7.62,,27.7,23.2,0.3,81.53,Rain
"London, England, United Kingdom",2012-10-18,16.6,12.3,14.1,,6.7,,23.2,31.8,0.3,83.59,Rain
"London, England, United Kingdom",2012-10-19,13.5,12,12.6,,7.11,,13.2,13.3,0.4,95.38,Rain
"London, England, United Kingdom",2012-10-20,14.3,9.8,12,,0.8,,10.6,12.3,0.3,90.22,Rain
"London, England, United Kingdom",2012-10-21,12.8,10.3,11.6,,6.9,,18.1,15.3,0.3,93.28,Rain
"London, England, United Kingdom",2012-10-22,15.1,12.3,14,,0.7,,11,3.1,0.2,97.89,Rain
"London, England, United Kingdom",2012-10-23,14,12.5,13.5,,0.3,,12.9,2.7,0.2,95.2,Rain
"London, England, United Kingdom",2012-10-24,16.5,13.3,14.6,,0.2,,16.8,3.3,0.2,90,Rain
"London, England, United Kingdom",2012-10-25,13.8,10.3,12.6,,0.5,,24,17.5,0.3,88.95,Rain
"London, England, United Kingdom",2012-10-26,10.1,4.3,8.3,-0.5,1.84,,26.9,33.4,0.4,77.1,Rain
"London, England, United Kingdom",2012-10-27,8.3,2.8,5.2,-2.1,1,,28.5,36.7,0.3,78.62,Rain
"London, England, United Kingdom",2012-10-28,9.3,1.5,6,-0.9,1.2,,17.5,25.3,0.3,88.41,Rain
"London, England, United Kingdom",2012-10-29,12.6,7.6,9.8,5.7,3.5,,20.6,26.5,0.3,88.9,Rain
"London, England, United Kingdom",2012-10-30,11.3,5.3,8,3.6,1,,14.6,23.3,0.2,83.4,Rain
"London, England, United Kingdom",2012-10-31,12.6,6.8,10,4.7,0.7,,31.3,31.1,0.4,78.59,Rain
"London, England, United Kingdom",2012-11-01,11.8,4.3,7.8,1.1,12.49,,28.1,34.6,0.2,84.88,Rain
"London, England, United Kingdom",2012-11-02,10.1,4.8,7.1,1.3,1.26,,26,41.1,0.1,76.59,Rain
"London, England, United Kingdom",2012-11-03,10.1,3.5,6.6,1.7,0.97,,32.7,32.5,0.1,79.47,Rain
"London, England, United Kingdom",2012-11-04,9.3,3.3,5.5,1,15.18,,31.6,20,0.3,92.04,Rain
"London, England, United Kingdom",2012-11-05,9.6,3.1,6.7,3.1,0.2,,16.9,16.5,0.1,82.64,Rain
"London, England, United Kingdom",2012-11-06,10,1.1,6.1,-0.7,0.7,,19.9,18,0.2,87.61,Rain
"London, England, United Kingdom",2012-11-07,10.3,5.1,8.3,3,0.32,,23.1,21.8,0.2,85.7,Rain
"London, England, United Kingdom",2012-11-08,12.6,7.6,10.1,5.1,0.26,,17.9,40.3,0.2,78.1,Rain
"London, England, United Kingdom",2012-11-09,11.8,8.3,9.8,6.9,0,,19.8,31.4,0.3,79,Clear
"London, England, United Kingdom",2012-11-10,10.6,5.6,9,3.7,3.51,,16.9,22.4,0.2,90.93,Rain
"London, England, United Kingdom",2012-11-11,10,2.3,5.7,1.4,0.2,,12.9,19.3,0.1,88.87,Rain
"London, England, United Kingdom",2012-11-12,12.1,5,9,3.9,1.81,,18.7,15,0.4,92.07,Rain
"London, England, United Kingdom",2012-11-13,15.1,9.9,12.7,8.2,0.8,,18.3,16.9,0.3,86.7,Rain
"London, England, United Kingdom",2012-11-14,12.7,7.8,10.9,7.2,0.2,,10.5,16.7,0.1,84.73,Rain
"London, England, United Kingdom",2012-11-15,9.3,6.6,7.7,5.2,0.2,,8,5.3,0.2,90.32,Rain
"London, England, United Kingdom",2012-11-16,9.6,6.3,7.8,4.7,0.3,,13.5,4.2,0.2,90.54,Rain
"London, England, United Kingdom",2012-11-17,12.6,8.8,10.9,7.5,2.2,,15.8,21.2,0.3,86.97,Rain
"London, England, United Kingdom",2012-11-18,9.8,2.3,5.8,2.5,0.4,,8,26.6,0.1,81.4,Rain
"London, England, United Kingdom",2012-11-19,11.5,4.3,8.7,2.1,0.25,,26.9,29,0.3,80.86,Rain
"London, England, United Kingdom",2012-11-20,13.8,11.1,12.4,,3.32,,28.2,16.6,0.4,90.02,Rain
"London, England, United Kingdom",2012-11-21,12,6.1,9.5,3.6,7.11,,39,19.9,0.3,90.67,Rain
"London, England, United Kingdom",2012-11-22,13.6,6.6,11.4,4.1,1.13,,39.6,23.2,0.4,80.9,Rain
"London, England, United Kingdom",2012-11-23,11.1,5.6,8,3.7,11.91,,30,26.9,0.2,88.98,Rain
"London, England, United Kingdom",2012-11-24,10.1,4.3,7.4,4.2,5.41,,22.1,7.9,0.2,97.36,Rain
"London, England, United Kingdom",2012-11-25,12.5,7.6,10.4,3,2.52,,47.7,31.5,0.3,80.55,Rain
"London, England, United Kingdom",2012-11-26,11,7.3,8.8,5.3,7.74,,22.8,22.2,0.3,90.29,Rain
"London, England, United Kingdom",2012-11-27,8.8,6.8,7.8,3.3,5,,28,20,0.4,89.86,Rain
"London, England, United Kingdom",2012-11-28,7.3,4,6.4,0.3,3.8,,22.1,35.3,0.3,82.13,Rain
"London, England, United Kingdom",2012-11-29,6.1,2.3,3.9,-0.9,0.2,,17.4,28.3,0.1,81.12,Rain
"London, England, United Kingdom",2012-11-30,4.6,-0.5,2.1,-2.7,0.2,,8.9,13.1,0.2,86.7,Rain
"London, England, United Kingdom",2012-12-01,6.1,-1.4,1.9,-3.2,0.3,,17,15.6,0.2,88.17,Rain
"London, England, United Kingdom",2012-12-02,5.1,-1.7,1.6,-4.3,0.3,,11.4,25.1,0.1,84.64,Rain
"London, England, United Kingdom",2012-12-03,10.5,3.6,7.1,0.9,6.39,,22.6,23.3,0.3,87.25,Rain
"London, England, United Kingdom",2012-12-04,8.1,1.5,4.6,-1.9,0,,25.6,31.2,0.1,81.56,Clear
"London, England, United Kingdom",2012-12-05,4.1,-0.7,2.2,-2,0.8,,20.3,23.6,0.1,83.61,Rain
"London, England, United Kingdom",2012-12-06,5,-2.9,1.5,-4.8,0,,24.6,22.1,0.2,83.04,Clear
"London, England, United Kingdom",2012-12-07,6.8,3.1,5.1,-2,5.61,,31.9,38.6,0.3,79.84,Rain
"London, England, United Kingdom",2012-12-08,7.1,3.3,4.9,0.2,0,,19.5,23.5,0.1,81.78,Clear
"London, England, United Kingdom",2012-12-09,9.1,3.8,6.9,0.6,0.2,,25.5,35.7,0.3,80.4,Rain
"London, England, United Kingdom",2012-12-10,5.8,2.3,4.5,0,0,,18.3,33.3,0.1,77.12,Clear
"London, England, United Kingdom",2012-12-11,3.5,-2.4,1.2,-1.4,2,,9.5,7.9,0.1,86.54,Rain
"London, England, United Kingdom",2012-12-12,2.6,-3.7,-0.4,-2.7,0.2,,10.2,10.4,0.1,90.23,Rain
"London, England, United Kingdom",2012-12-13,2,-0.7,0.7,-3.6,0.2,,12.6,7.6,0.2,84.43,Rain
"London, England, United Kingdom",2012-12-14,10.6,2.1,7,-0.9,10.21,,36.9,14.5,0.3,91.43,Rain
"London, England, United Kingdom",2012-12-15,11.3,7.1,8.8,4.5,2.59,,23.7,25.2,0.2,85.38,Rain
"London, England, United Kingdom",2012-12-16,9.8,5.3,7.4,3.2,3.32,,16.1,25.5,0.2,88.71,Rain
"London, England, United Kingdom",2012-12-17,9.1,5.8,7.1,3.4,2.5,,19.4,26.4,0.2,86.4,Rain
"London, England, United Kingdom",2012-12-18,8.3,5.1,6.9,2.4,0,,15.5,20,0.2,84.92,Clear
"London, England, United Kingdom",2012-12-19,7.8,4,6,1.9,3.21,,22.4,11.3,0.3,91.38,Rain
"London, England, United Kingdom",2012-12-20,9.8,6.6,8.4,3.1,31.12,,21.8,15.3,0.3,95.84,Rain
"London, England, United Kingdom",2012-12-21,10,6.6,7.8,4.5,0.2,,17.4,22.6,0.2,91.13,Rain
"London, England, United Kingdom",2012-12-22,13.1,6.3,10.1,4.3,15.31,,24.9,13.8,0.4,95.57,Rain
"London, England, United Kingdom",2012-12-23,13.1,9.5,11.8,8.1,6.09,,29.6,23.6,0.4,85.68,Rain
"London, England, United Kingdom",2012-12-24,12.5,7.8,9.9,5.2,4.31,,35.7,20.4,0.4,90.9,Rain
"London, England, United Kingdom",2012-12-25,9.1,6.8,8.1,3.4,5.6,,26.4,35.4,0.2,89.23,Rain
"London, England, United Kingdom",2012-12-26,10.5,4.8,7.8,1.5,11.96,,30.6,27.5,0.2,88.64,Rain
"London, England, United Kingdom",2012-12-27,8.1,6.5,7.6,3.8,12.41,,29.9,27.8,0.3,84.05,Rain
"London, England, United Kingdom",2012-12-28,12.6,5.6,9.7,3.6,3.5,,30.1,22.4,0.4,88.43,Rain
"London, England, United Kingdom",2012-12-29,12.1,7.5,10.5,3.9,1.5,,37.5,28,0.4,82.33,Rain
"London, England, United Kingdom",2012-12-30,10.8,5.6,7.9,1.2,3,,33.5,33.6,0.2,76.79,Rain
"London, England, United Kingdom",2012-12-31,11.5,9.6,10.9,7.4,4.36,,36.3,20.5,0.5,86.27,Rain
"London, England, United Kingdom",2013-01-01,9.6,4.3,6.5,0.7,4.94,,22.1,37.7,0.1,81.61,Rain
"London, England, United Kingdom",2013-01-02,11,3.1,6.8,0.4,0.5,,18.7,22.8,0.2,91.97,Rain
"London, England, United Kingdom",2013-01-03,11.8,9.8,10.9,7.6,0.26,,18.9,25.2,0.2,90.35,Rain
"London, England, United Kingdom",2013-01-04,11.1,8.6,10,6,0.3,,20.4,29.1,0.2,84.35,Rain
"London, England, United Kingdom",2013-01-05,10.8,8.1,9.4,5.7,0.2,,17.7,20.4,0.2,90.97,Rain
"London, England, United Kingdom",2013-01-06,8.8,7,7.8,5.2,0.26,,13.4,6.2,0.2,95.95,Rain
"London, England, United Kingdom",2013-01-07,9.6,7.1,8.3,5.3,0.8,,17.5,12.7,0.3,90.99,Rain
"London, England, United Kingdom",2013-01-08,11.3,9.1,10.2,7.2,0,,18.7,20,0.2,86.02,Clear
"London, England, United Kingdom",2013-01-09,9.5,2.3,7.6,6.3,4.03,,12,13.1,0.2,88.78,Rain
"London, England, United Kingdom",2013-01-10,3.6,1.5,2.6,-0.8,0.3,,11.3,7.1,0.3,93.26,Rain
"London, England, United Kingdom",2013-01-11,6.4,0.8,3,-0.6,0.3,,8.3,6.4,0.2,92.13,Rain
"London, England, United Kingdom",2013-01-12,5,2,3.9,-1.1,1.8,,23.8,15.7,0.3,82.49,Rain
"London, England, United Kingdom",2013-01-13,4.1,1.5,2.8,-2,0.62,,17.2,19.2,0.2,72.41,Rain
"London, England, United Kingdom",2013-01-14,3.6,-0.2,1.5,-3.2,3.8,,19.3,13.8,0.3,86.67,Rain
"London, England, United Kingdom",2013-01-15,2.6,0.1,1.9,-3.1,0.91,,24.4,19.4,0.2,83.09,Rain
"London, England, United Kingdom",2013-01-16,0.8,-1.7,-0.6,-4.9,0,,8.9,4.2,0.2,88.93,Clear
"London, England, United Kingdom",2013-01-17,3.1,-3.2,0.3,-1.8,0,,12.2,13.7,0.3,81.18,Clear
"London, England, United Kingdom",2013-01-18,1.8,-1.7,-0.4,-7.4,0.3,,22.8,8.2,0.3,84.55,Rain
"London, England, United Kingdom",2013-01-19,1.3,-0.4,0.6,-5.2,1.28,,21.6,8.1,0.3,85.33,Rain
"London, England, United Kingdom",2013-01-20,0.3,-0.9,-0.2,-5.8,1.8,,19.4,5.5,0.2,90.46,Rain
"London, England, United Kingdom",2013-01-21,1.8,-1.7,-0.1,-4.3,3,,8,9.4,0.3,89.02,Rain
"London, England, United Kingdom",2013-01-22,3.3,-3.5,0.8,-5.3,1.01,,25.4,8.9,0.2,87.77,Rain
"London, England, United Kingdom",2013-01-23,3.1,1.8,2.5,-1.9,2.07,,17.9,8.1,0.4,81.29,Rain
"London, England, United Kingdom",2013-01-24,2.8,0.5,2,-2.8,0.7,,19,15,0.3,76.87,Rain
"London, England, United Kingdom",2013-01-25,3.3,-1.3,1.5,-4,0.5,,22.9,17.6,0.3,78.12,Rain
"London, England, United Kingdom",2013-01-26,7.8,2.2,5.3,-1.9,6.41,,27.3,16.1,0.2,86.34,Rain
"London, England, United Kingdom",2013-01-27,10.3,5,8.3,1.8,9.25,,40,24.2,0.3,76.81,Rain
"London, England, United Kingdom",2013-01-28,10.8,3.1,6.9,-0.7,0.5,,40.3,27.7,0.3,84.43,Rain
"London, England, United Kingdom",2013-01-29,13.6,9.8,12,7.4,1.68,,37.2,19.4,0.5,88.37,Rain
"London, England, United Kingdom",2013-01-30,12.8,7.6,10.4,3.9,3.25,,42.4,26.9,0.3,76.7,Rain
"London, England, United Kingdom",2013-01-31,10.1,7.3,9,3.4,1.39,,38.7,22.4,0.3,74.91,Rain
"London, England, United Kingdom",2013-02-01,8.3,4.6,6.4,3.1,6.1,,23.3,26.7,0.3,84.45,Rain
"London, England, United Kingdom",2013-02-02,5.8,2.1,4.6,-1.4,0.2,,25.2,40.4,0.2,69.3,Rain
"London, England, United Kingdom",2013-02-03,9.1,0.3,5.1,-2.4,0,,26.8,35.1,0.3,82.79,Clear
"London, England, United Kingdom",2013-02-04,10.8,6.3,9.2,2.2,0,,31.7,26.5,0.4,70.56,Clear
"London, England, United Kingdom",2013-02-05,6.8,2.3,4.7,-2.5,2.35,,36.9,40,0.3,72.72,Rain
"London, England, United Kingdom",2013-02-06,6.3,3.3,5,-0.8,1.9,,29.2,41,3.6,72.74,Rain
"London, England, United Kingdom",2013-02-07,6,1.5,3.5,-2.2,0.3,,20.6,35.7,0.2,68.6,Rain
"London, England, United Kingdom",2013-02-08,6,1.3,3.7,-0.5,5.19,,18.9,18.1,0.2,75.94,Rain
"London, England, United Kingdom",2013-02-09,4.1,2,3.2,-0.8,1.7,,18.5,19,0.3,83.77,Rain
"London, England, United Kingdom",2013-02-10,5.1,1.1,3.5,-3.7,7.64,,23.4,7.4,0.4,92.68,Rain
"London, England, United Kingdom",2013-02-11,2.1,0.8,1.6,-3.3,16.98,,14.7,4.1,0.3,91.76,Rain
"London, England, United Kingdom",2013-02-12,2.5,1.6,2,-1.8,1.2,,13.1,7.1,0.3,73.63,Rain
"London, England, United Kingdom",2013-02-13,3.3,1.3,2,-3.1,0.7,,19.7,7.1,0.3,70.34,Rain
"London, England, United Kingdom",2013-02-14,11,4.3,8,-0.1,2.21,,26,27.7,0.3,79.93,Rain
"London, England, United Kingdom",2013-02-15,10.6,2.3,6.6,0.5,0.2,,14.7,27.2,0.1,74.85,Rain
"London, England, United Kingdom",2013-02-16,10.3,4.5,7.1,5.4,0.2,,9.2,26.3,0.2,68.43,Rain
"London, England, United Kingdom",2013-02-17,10.8,3.1,5.2,0.8,0,,18,13.3,0.1,82.39,Clear
"London, England, United Kingdom",2013-02-18,7.9,1.8,4.6,0.1,0.2,,17.3,11.3,0.1,81.55,Rain
"London, England, United Kingdom",2013-02-19,10.6,-1.2,4.7,0.5,0.2,,5.9,9.9,0,77.07,Rain
"London, England, United Kingdom",2013-02-20,5.6,2,3.6,-2.7,1,,24.5,15.1,0.2,76.15,Rain
"London, England, United Kingdom",2013-02-21,2.6,1.1,1.9,-3.7,0,,22.3,31.5,0.2,57.84,Clear
"London, England, United Kingdom",2013-02-22,1.8,0.6,1.3,-4.1,0.5,,22.4,35.3,0.3,60.25,Rain
"London, England, United Kingdom",2013-02-23,2.1,0.5,1.4,-4,0,,18,17.6,0.3,66.17,Clear
"London, England, United Kingdom",2013-02-24,2.6,1.1,1.9,-3,0,,20.2,24.8,0.3,68.87,Clear
"London, England, United Kingdom",2013-02-25,4.8,2,3.6,-2.1,0,,24.1,12.9,0.3,79.98,Clear
"London, England, United Kingdom",2013-02-26,5.3,3.1,4.3,-1.2,1.3,,22.8,4.2,0.3,89.05,Rain
"London, England, United Kingdom",2013-02-27,6.8,2.5,4.1,-2,0.3,,19.9,12.4,0.2,79.93,Rain
"London, England, United Kingdom",2013-02-28,8,2.8,4.6,-1.2,0,,20,20,0.3,77.1,Clear
"London, England, United Kingdom",2013-03-01,7,3,5.1,-1.3,0.76,,20.7,20.1,0.3,76.08,Rain
"London, England, United Kingdom",2013-03-02,5,1.6,3.6,0.1,0.2,,15.1,28.7,0.2,69.57,Rain
"London, England, United Kingdom",2013-03-03,8.3,-0.5,4.1,0.9,0,,21.1,18.4,0.2,78.25,Clear
"London, England, United Kingdom",2013-03-04,9.4,2.6,5.1,-0.5,0,,19.3,8,0.1,75.55,Clear
"London, England, United Kingdom",2013-03-05,16.5,2.3,8.8,0.8,0,,12.3,13.9,0.1,72.27,Clear
"London, England, United Kingdom",2013-03-06,13.6,8.3,10.4,7.2,0.2,,12.4,10.9,0.3,69.63,Rain
"London, England, United Kingdom",2013-03-07,9.8,7.6,8.9,6.5,5.41,,12.9,3.2,0.3,91.98,Rain
"London, England, United Kingdom",2013-03-08,10.1,8.4,9.3,6.9,9.39,,10.3,2.8,0.3,95.6,Rain
"London, England, United Kingdom",2013-03-09,8.5,4.1,6.5,1.3,6.09,,12,6.8,0.3,87.39,Rain
"London, England, United Kingdom",2013-03-10,3.8,1.5,2.9,-4,0.2,,26.6,25.6,0.4,79,Rain
"London, England, United Kingdom",2013-03-11,1.3,-1.2,0.1,-8.1,1,,35.4,27.4,0.5,69.46,Rain
"London, England, United Kingdom",2013-03-12,4.5,-1.4,1.4,-8.4,0.5,,35.8,31.6,0.4,60.19,Rain
"London, England, United Kingdom",2013-03-13,7.1,1.6,3.4,-1.8,0.8,,19.1,31.5,0.1,71.24,Rain
"London, England, United Kingdom",2013-03-14,7,-0.2,3.5,-2.6,0.7,,13.3,25.2,0.1,64.02,Rain
"London, England, United Kingdom",2013-03-15,8.8,3.6,6.3,0.5,2.54,,29.9,23.4,0.4,78.24,Rain
"London, England, United Kingdom",2013-03-16,8,6,7,1.8,11.66,,34.8,20.4,0.5,83.57,Rain
"London, England, United Kingdom",2013-03-17,7.6,2.5,5.4,-0.1,13.04,,20.7,23.8,0.3,85.86,Rain
